book_name,book1,book2,book3,book4,book5,book6,book7,book8,book9,book10
Children of the Mind (Ender's Saga  #4)	,  Speaker for the Dead (Ender's Saga  #2) - 58.15, Xenocide (Ender's Saga  #3) - 57.16, Ender's Game (Ender's Saga  #1) - 41.77, Ender's Shadow (Ender's Shadow  #1) - 31.12, Catching Fire (The Hunger Games  #2) - 23.26, The Hunger Games (The Hunger Games  #1) - 21.23, Shadow of the Hegemon (Ender's Shadow  #2) - 16.49, The Maze Runner (Maze Runner  #1) - 14.75, Harry Potter and the Goblet of Fire (Harry Potter  #4) - 14.05, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 10.20 
Chinese Cinderella: The True Story of an Unwanted Daughter	,  Catching Fire (The Hunger Games  #2) - 75.00, The Hunger Games (The Hunger Games  #1) - 55.61, The Book Thief - 50.43, The Help - 23.44, Looking for Alaska - 22.28, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 20.95, The Perks of Being a Wallflower - 18.75, The Maze Runner (Maze Runner  #1) - 18.38, Thirteen Reasons Why - 18.02, City of Bones (The Mortal Instruments  #1) - 17.65 
Chocolat (Chocolat  #1)	,  The Hunger Games (The Hunger Games  #1) - 71.61, The Book Thief - 62.50, The Help - 51.12, To Kill a Mockingbird - 50.39, Catching Fire (The Hunger Games  #2) - 45.36, The Handmaid's Tale - 40.76, The Girl with the Dragon Tattoo (Millennium  #1) - 42.93, Water for Elephants - 35.13, Twilight (Twilight  #1) - 32.42, The Curious Incident of the Dog in the Night-Time - 31.60 
Chocolate Chip Cookie Murder (Hannah Swensen  #1)	,  The Help - 56.94, Twilight (Twilight  #1) - 43.97, Catching Fire (The Hunger Games  #2) - 43.22, The Hunger Games (The Hunger Games  #1) - 45.60, The Guernsey Literary and Potato Peel Pie Society - 37.37, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 34.61, The Book Thief - 29.68, Outlander (Outlander  #1) - 22.86, To Kill a Mockingbird - 23.85, Breaking Dawn (Twilight  #4) - 20.70 
Choke	,  The Hunger Games (The Hunger Games  #1) - 54.28, Fight Club - 56.38, Twilight (Twilight  #1) - 41.30, The Girl with the Dragon Tattoo (Millennium  #1) - 39.74, Catching Fire (The Hunger Games  #2) - 34.91, The Perks of Being a Wallflower - 39.93, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 32.61, The Book Thief - 32.61, The Road - 34.27, Water for Elephants - 32.45 
Chosen (House of Night  #3)	,  Marked (House of Night  #1) - 67.04, Betrayed (House of Night  #2) - 65.26, Untamed (House of Night  #4) - 54.82, Hunted (House of Night  #5) - 40.57, Tempted (House of Night  #6) - 34.76, The Hunger Games (The Hunger Games  #1) - 29.06, Twilight (Twilight  #1) - 28.11, City of Bones (The Mortal Instruments  #1) - 25.94, Burned (House of Night  #7) - 29.23, Catching Fire (The Hunger Games  #2) - 26.55 
Christine Falls (Quirke #1)	,  The Girl with the Dragon Tattoo (Millennium  #1) - 51.67, In the Woods (Dublin Murder Squad  #1) - 35.70, The Guernsey Literary and Potato Peel Pie Society - 22.56, The Help - 24.87, The Likeness (Dublin Murder Squad  #2) - 24.28, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 24.28, The Hunger Games (The Hunger Games  #1) - 21.91, The Brief Wondrous Life of Oscar Wao - 15.35, The Book Thief - 15.79, Catching Fire (The Hunger Games  #2) - 13.47 
Christmas Jars	,  The Hunger Games (The Hunger Games  #1) - 66.25, The Help - 61.06, The Guernsey Literary and Potato Peel Pie Society - 40.87, Catching Fire (The Hunger Games  #2) - 36.31, The Book Thief - 35.81, Twilight (Twilight  #1) - 25.43, The Host (The Host  #1) - 19.96, Sarah's Key - 17.78, These Is My Words: The Diary of Sarah Agnes Prine - 1881-1901 - Arizona Territories (Sarah Agnes Prine  #1) - 16.09, Still Alice - 14.30 
Chronicle of a Death Foretold	,  The Hunger Games (The Hunger Games  #1) - 71.09, The Book Thief - 62.58, One Hundred Years of Solitude - 51.33, 1984 - 47.07, Love in the Time of Cholera - 41.27, The Girl with the Dragon Tattoo (Millennium  #1) - 40.37, Brave New World - 40.47, The Great Gatsby - 33.45, To Kill a Mockingbird - 33.21, The Stranger - 32.68 
Circle of Friends	,  The Hunger Games (The Hunger Games  #1) - 78.26, Catching Fire (The Hunger Games  #2) - 49.12, The Time Traveler's Wife - 38.23, The Help - 38.23, The Book Thief - 35.16, Water for Elephants - 31.25, Outlander (Outlander  #1) - 27.22, Twilight (Twilight  #1) - 27.22, The Guernsey Literary and Potato Peel Pie Society - 26.67, Still Alice - 20.09 
Circus of the Damned (Anita Blake - Vampire Hunter  #3)	,  The Laughing Corpse (Anita Blake - Vampire Hunter  #2) - 73.48, Guilty Pleasures (Anita Blake - Vampire Hunter  #1) - 65.65, The Lunatic Cafe (Anita Blake - Vampire Hunter #4) - 50.70, Bloody Bones (Anita Blake - Vampire Hunter #5) - 45.99, The Killing Dance (Anita Blake - Vampire Hunter  #6) - 45.84, Burnt Offerings (Anita Blake - Vampire Hunter  #7) - 35.63, The Hunger Games (The Hunger Games  #1) - 31.71, Obsidian Butterfly (Anita Blake - Vampire Hunter  #9) - 30.84, Catching Fire (The Hunger Games  #2) - 26.27, Blue Moon (Anita Blake - Vampire Hunter  #8) - 26.65 
City of Ashes (The Mortal Instruments  #2)	,  City of Bones (The Mortal Instruments  #1) - 76.67, City of Glass (The Mortal Instruments  #3) - 65.36, City of Fallen Angels (The Mortal Instruments  #4) - 47.37, The Hunger Games (The Hunger Games  #1) - 30.89, Catching Fire (The Hunger Games  #2) - 25.07, The Maze Runner (Maze Runner  #1) - 19.57, If I Stay (If I Stay  #1) - 18.19, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 18.07, Hush - Hush (Hush - Hush  #1) - 18.99, Twilight (Twilight  #1) - 17.67 
City of Bones (Harry Bosch  #8; Harry Bosch Universe  #10)	,  The Black Ice (Harry Bosch  #2; Harry Bosch Universe  #2) - 73.21, A Darkness More Than Night (Harry Bosch  #7; Terry McCaleb  #2; Harry Bosch Universe  #9) - 67.04, Lost Light (Harry Bosch  #9; Harry Bosch Universe  #11) - 60.64, The Closers (Harry Bosch  #11; Harry Bosch Universe  #14) - 58.06, The Black Echo (Harry Bosch  #1; Harry Bosch Universe  #1) - 56.96, The Narrows (Harry Bosch  #10; Harry Bosch Universe  #13) - 54.55, Angels Flight (Harry Bosch  #6; Harry Bosch Universe  #7) - 46.48, The Overlook (Harry Bosch  #13; Harry Bosch Universe  #16) - 44.44, Echo Park (Harry Bosch  #12; Harry Bosch Universe  #15) - 46.05, The Concrete Blonde (Harry Bosch  #3; Harry Bosch Universe  #3) - 38.68 
City of Bones (The Mortal Instruments  #1)	,  City of Ashes (The Mortal Instruments  #2) - 77.50, City of Glass (The Mortal Instruments  #3) - 62.39, The Hunger Games (The Hunger Games  #1) - 50.21, City of Fallen Angels (The Mortal Instruments  #4) - 48.08, Catching Fire (The Hunger Games  #2) - 37.26, Twilight (Twilight  #1) - 26.61, The Maze Runner (Maze Runner  #1) - 25.48, The Book Thief - 24.22, The Lightning Thief (Percy Jackson and the Olympians  #1) - 25.03, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 25.65 
City of Fallen Angels (The Mortal Instruments  #4)	,  City of Glass (The Mortal Instruments  #3) - 72.30, City of Bones (The Mortal Instruments  #1) - 67.07, City of Ashes (The Mortal Instruments  #2) - 62.14, The Hunger Games (The Hunger Games  #1) - 36.20, Catching Fire (The Hunger Games  #2) - 30.17, The Maze Runner (Maze Runner  #1) - 25.45, Hush - Hush (Hush - Hush  #1) - 23.35, If I Stay (If I Stay  #1) - 21.60, Clockwork Princess (The Infernal Devices  #3) - 22.32, Shiver (The Wolves of Mercy Falls  #1) - 19.79 
City of Glass (The Mortal Instruments  #3)	,  City of Ashes (The Mortal Instruments  #2) - 84.43, City of Bones (The Mortal Instruments  #1) - 81.77, City of Fallen Angels (The Mortal Instruments  #4) - 60.29, The Hunger Games (The Hunger Games  #1) - 36.54, Catching Fire (The Hunger Games  #2) - 31.77, The Maze Runner (Maze Runner  #1) - 21.37, Hush - Hush (Hush - Hush  #1) - 22.09, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 20.80, Twilight (Twilight  #1) - 20.26, If I Stay (If I Stay  #1) - 20.60 
City of Thieves	,  The Book Thief - 80.07, The Hunger Games (The Hunger Games  #1) - 67.50, The Help - 62.48, Catching Fire (The Hunger Games  #2) - 58.41, The Girl with the Dragon Tattoo (Millennium  #1) - 56.87, Water for Elephants - 49.56, The Guernsey Literary and Potato Peel Pie Society - 45.79, The Road - 45.04, Cutting for Stone - 43.06, The Immortal Life of Henrietta Lacks - 39.19 
Civil War: A Marvel Comics Event	,  The Hunger Games (The Hunger Games  #1) - 56.25, Catching Fire (The Hunger Games  #2) - 56.15, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 60.65, Batman: The Killing Joke - 50.90, Watchmen - 42.07, The Girl with the Dragon Tattoo (Millennium  #1) - 37.50, The Name of the Wind (The Kingkiller Chronicle  #1) - 38.64, Batman: The Dark Knight Returns (The Dark Knight Saga  #1) - 32.48, Storm Front (The Dresden Files  #1) - 35.75, City of Bones (The Mortal Instruments  #1) - 35.75 
Claimed By Shadow (Cassandra Palmer  #2)	,  Touch the Dark (Cassandra Palmer  #1) - 66.54, Curse the Dawn (Cassandra Palmer  #4) - 46.36, Halfway to the Grave (Night Huntress  #1) - 31.13, Moon Called (Mercy Thompson  #1) - 26.61, Darkfever (Fever  #1) - 23.98, One Foot in the Grave (Night Huntress  #2) - 26.48, Magic Bites (Kate Daniels  #1) - 24.90, Catching Fire (The Hunger Games  #2) - 22.35, At Grave's End (Night Huntress  #3) - 23.61, Iron Kissed (Mercy Thompson  #3) - 22.78 
Clarity (Clarity  #1)	,  The Hunger Games (The Hunger Games  #1) - 78.23, Anna and the French Kiss (Anna and the French Kiss  #1) - 69.79, The Iron King (The Iron Fey  #1) - 67.60, Catching Fire (The Hunger Games  #2) - 56.30, City of Bones (The Mortal Instruments  #1) - 54.82, Hex Hall (Hex Hall  #1) - 53.69, Hush - Hush (Hush - Hush  #1) - 48.88, Firelight (Firelight  #1) - 41.53, The Forest of Hands and Teeth (The Forest of Hands and Teeth  #1) - 41.18, Shiver (The Wolves of Mercy Falls  #1) - 39.71 
Clementine (Clementine  #1)	,  The Hunger Games (The Hunger Games  #1) - 79.76, Catching Fire (The Hunger Games  #2) - 52.39, When You Reach Me - 47.50, The Help - 45.05, The Book Thief - 45.04, Twilight (Twilight  #1) - 41.58, The Lightning Thief (Percy Jackson and the Olympians  #1) - 38.71, The Graveyard Book - 38.15, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 36.75, Thirteen Reasons Why - 35.39 
Cleopatra's Daughter	,  The Heretic Queen - 74.11, The Guernsey Literary and Potato Peel Pie Society - 66.96, The Hunger Games (The Hunger Games  #1) - 66.23, Nefertiti - 65.33, The Help - 57.35, The Book Thief - 49.87, The Handmaid's Tale - 38.52, The Forgotten Garden - 38.38, Catching Fire (The Hunger Games  #2) - 31.58, A Thousand Splendid Suns - 28.55 
Click - Clack - Moo: Cows That Type	,  The Hunger Games (The Hunger Games  #1) - 84.29, The Book Thief - 56.92, Don't Let the Pigeon Drive the Bus! - 54.94, Catching Fire (The Hunger Games  #2) - 47.83, The Very Hungry Caterpillar - 39.13, Where the Wild Things Are - 39.13, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 37.50, The Help - 37.50, The Lightning Thief (Percy Jackson and the Olympians  #1) - 36.21, The Graveyard Book - 35.22 
Cloaked	,  Beastly (Beastly  #1; Kendra Chronicles  #1) - 60.58, The Hunger Games (The Hunger Games  #1) - 61.22, City of Bones (The Mortal Instruments  #1) - 46.40, Catching Fire (The Hunger Games  #2) - 46.80, Anna and the French Kiss (Anna and the French Kiss  #1) - 41.55, If I Stay (If I Stay  #1) - 40.72, The Maze Runner (Maze Runner  #1) - 37.69, Shiver (The Wolves of Mercy Falls  #1) - 33.88, Before I Fall - 31.30, Thirteen Reasons Why - 30.90 
Clockwork Princess (The Infernal Devices  #3)	,  City of Bones (The Mortal Instruments  #1) - 91.12, City of Fallen Angels (The Mortal Instruments  #4) - 84.55, The Hunger Games (The Hunger Games  #1) - 73.58, City of Glass (The Mortal Instruments  #3) - 69.34, City of Ashes (The Mortal Instruments  #2) - 67.31, Catching Fire (The Hunger Games  #2) - 58.94, Anna and the French Kiss (Anna and the French Kiss  #1) - 53.35, Hush - Hush (Hush - Hush  #1) - 51.84, If I Stay (If I Stay  #1) - 50.62, Beautiful Creatures (Caster Chronicles  #1) - 49.44 
Cloud Atlas	,  The Hunger Games (The Hunger Games  #1) - 75.18, Catching Fire (The Hunger Games  #2) - 60.31, The Book Thief - 53.53, The Girl with the Dragon Tattoo (Millennium  #1) - 50.20, A Game of Thrones (A Song of Ice and Fire  #1) - 47.62, The Handmaid's Tale - 41.73, The Help - 35.78, Never Let Me Go - 37.12, The Name of the Wind (The Kingkiller Chronicle  #1) - 35.17, The Road - 35.16 
Cloudy With a Chance of Meatballs	,  The Hunger Games (The Hunger Games  #1) - 76.72, Catching Fire (The Hunger Games  #2) - 62.55, Twilight (Twilight  #1) - 64.10, The Book Thief - 64.10, Green Eggs and Ham - 56.00, The Giving Tree - 47.22, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 44.97, The Giver (The Giver  #1) - 42.33, Harry Potter and the Order of the Phoenix (Harry Potter  #5) - 38.12, Harry Potter and the Goblet of Fire (Harry Potter  #4) - 36.88 
Club Dead (Sookie Stackhouse  #3)	,  Dead Until Dark (Sookie Stackhouse  #1) - 71.66, Dead to the World (Sookie Stackhouse  #4) - 69.04, Living Dead in Dallas (Sookie Stackhouse  #2) - 62.09, Dead as a Doornail (Sookie Stackhouse  #5) - 56.06, Definitely Dead (Sookie Stackhouse  #6) - 50.11, The Hunger Games (The Hunger Games  #1) - 44.26, All Together Dead (Sookie Stackhouse  #7) - 43.92, Catching Fire (The Hunger Games  #2) - 38.08, Twilight (Twilight  #1) - 37.10, Dead in the Family (Sookie Stackhouse  #10) - 35.75 
Club Shadowlands (Masters of the Shadowlands  #1)	,  Dark Lover (Black Dagger Brotherhood  #1) - 65.00, Lover Eternal (Black Dagger Brotherhood  #2) - 37.33, Halfway to the Grave (Night Huntress  #1) - 33.85, The Hunger Games (The Hunger Games  #1) - 30.26, Angels' Blood (Guild Hunter  #1) - 25.78, Catching Fire (The Hunger Games  #2) - 25.31, Lover Revealed (Black Dagger Brotherhood  #4) - 23.91, Slave to Sensation (Psy-Changeling #1) - 24.12, Lover Unbound (Black Dagger Brotherhood  #5) - 23.68, Lover Enshrined (Black Dagger Brotherhood  #6) - 21.49 
Cocaine Blues (Phryne Fisher  #1)	,  The Hunger Games (The Hunger Games  #1) - 68.29, The Guernsey Literary and Potato Peel Pie Society - 54.98, The Girl with the Dragon Tattoo (Millennium  #1) - 47.58, Catching Fire (The Hunger Games  #2) - 42.75, The Book Thief - 40.86, Soulless (Parasol Protectorate  #1) - 38.96, The Help - 36.94, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 33.60, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 30.80, A Game of Thrones (A Song of Ice and Fire  #1) - 29.13 
Cold Comfort Farm	,  The Book Thief - 61.18, Catching Fire (The Hunger Games  #2) - 59.21, The Help - 63.11, The Hunger Games (The Hunger Games  #1) - 62.01, The Girl with the Dragon Tattoo (Millennium  #1) - 51.36, The Thirteenth Tale - 44.96, The Guernsey Literary and Potato Peel Pie Society - 42.41, The Great Gatsby - 42.25, The Handmaid's Tale - 38.46, To Kill a Mockingbird - 37.93 
Cold Magic (Spiritwalker  #1)	,  The Hunger Games (The Hunger Games  #1) - 68.18, Soulless (Parasol Protectorate  #1) - 73.08, The Hundred Thousand Kingdoms (Inheritance Trilogy  #1) - 61.58, The Name of the Wind (The Kingkiller Chronicle  #1) - 51.05, Graceling (Graceling Realm  #1) - 45.18, Catching Fire (The Hunger Games  #2) - 43.91, The Lies of Locke Lamora (Gentleman Bastard  #1) - 38.54, Changeless (Parasol Protectorate  #2) - 32.73, Moon Called (Mercy Thompson  #1) - 30.68, A Game of Thrones (A Song of Ice and Fire  #1) - 27.27 
Cold Mountain	,  The Hunger Games (The Hunger Games  #1) - 67.96, The Book Thief - 63.19, The Help - 51.11, The Girl with the Dragon Tattoo (Millennium  #1) - 52.57, Water for Elephants - 46.80, The Guernsey Literary and Potato Peel Pie Society - 48.15, The Kite Runner - 42.81, Twilight (Twilight  #1) - 39.06, Life of Pi - 36.59, The Time Traveler's Wife - 35.37 
Cold Sassy Tree	,  The Book Thief - 65.96, The Help - 70.27, The Guernsey Literary and Potato Peel Pie Society - 62.02, Catching Fire (The Hunger Games  #2) - 47.26, The Hunger Games (The Hunger Games  #1) - 45.71, The Glass Castle - 47.44, Water for Elephants - 45.37, The Girl with the Dragon Tattoo (Millennium  #1) - 42.13, To Kill a Mockingbird - 40.77, The Immortal Life of Henrietta Lacks - 35.39 
Collapse: How Societies Choose to Fail or Succeed	,  Guns - Germs - and Steel: The Fates of Human Societies - 77.27, The Hunger Games (The Hunger Games  #1) - 59.66, The Road - 43.91, Catching Fire (The Hunger Games  #2) - 30.68, The Girl with the Dragon Tattoo (Millennium  #1) - 23.42, Oryx and Crake (MaddAddam  #1) - 20.45, Water for Elephants - 18.85, To Kill a Mockingbird - 15.62, The Book Thief - 14.55, The Curious Incident of the Dog in the Night-Time - 13.94 
Columbine	,  The Hunger Games (The Hunger Games  #1) - 83.10, The Help - 65.74, Catching Fire (The Hunger Games  #2) - 60.32, The Girl with the Dragon Tattoo (Millennium  #1) - 55.29, The Book Thief - 54.49, The Girl Who Played with Fire (Millennium  #2) - 39.39, Dark Places - 36.42, Water for Elephants - 35.22, Twilight (Twilight  #1) - 35.81, Thirteen Reasons Why - 35.55 
Commencement	,  The Hunger Games (The Hunger Games  #1) - 53.12, The Help - 43.89, The Girl with the Dragon Tattoo (Millennium  #1) - 35.61, Catching Fire (The Hunger Games  #2) - 31.93, The Glass Castle - 19.74, American Wife - 18.68, Twilight (Twilight  #1) - 15.16, Eat - Pray - Love - 15.88, The Guernsey Literary and Potato Peel Pie Society - 15.88, To Kill a Mockingbird - 15.76 
Committed: A Skeptic Makes Peace with Marriage	,  Eat - Pray - Love - 64.29, The Help - 53.45, The Hunger Games (The Hunger Games  #1) - 54.63, The Book Thief - 38.34, Catching Fire (The Hunger Games  #2) - 38.12, The Girl with the Dragon Tattoo (Millennium  #1) - 33.48, Water for Elephants - 30.51, The Immortal Life of Henrietta Lacks - 29.19, The Guernsey Literary and Potato Peel Pie Society - 26.17, The Glass Castle - 30.50 
Company of Liars	,  The Hunger Games (The Hunger Games  #1) - 73.08, The Graveyard Book - 35.65, The Help - 34.35, The Girl with the Dragon Tattoo (Millennium  #1) - 33.70, The Guernsey Literary and Potato Peel Pie Society - 17.78, Catching Fire (The Hunger Games  #2) - 9.74, In the Woods (Dublin Murder Squad  #1) - 9.23, American Gods (American Gods  #1) - 9.23, The Book Thief - 4.86, People of the Book - 0.00 
Complications: A Surgeon's Notes on an Imperfect Science	,  The Hunger Games (The Hunger Games  #1) - 78.57, The Help - 59.74, Better: A Surgeon's Notes on Performance - 52.94, Catching Fire (The Hunger Games  #2) - 50.74, The Book Thief - 42.35, The Girl with the Dragon Tattoo (Millennium  #1) - 36.53, Twilight (Twilight  #1) - 22.98, The Immortal Life of Henrietta Lacks - 22.98, Never Let Me Go - 22.52, The Glass Castle - 18.04 
Confederates in the Attic: Dispatches from the Unfinished Civil War	,  The Hunger Games (The Hunger Games  #1) - 74.19, The Book Thief - 50.10, The Help - 49.43, Catching Fire (The Hunger Games  #2) - 49.43, The Guernsey Literary and Potato Peel Pie Society - 43.70, The Immortal Life of Henrietta Lacks - 36.00, The Girl with the Dragon Tattoo (Millennium  #1) - 27.90, The Shadow of the Wind (The Cemetery of Forgotten Books -  #1) - 27.71, Ender's Game (Ender's Saga  #1) - 26.25, The Absolutely True Diary of a Part-Time Indian - 24.70 
Confessions of a Jane Austen Addict (Jane Austen Addict  #1)	,  The Hunger Games (The Hunger Games  #1) - 48.53, The Guernsey Literary and Potato Peel Pie Society - 36.74, Catching Fire (The Hunger Games  #2) - 32.42, Austenland (Austenland  #1) - 29.95, Twilight (Twilight  #1) - 28.72, Breaking Dawn (Twilight  #4) - 22.56, New Moon (Twilight  #2) - 22.17, The Book Thief - 19.79, The Girl with the Dragon Tattoo (Millennium  #1) - 17.46, Dead Until Dark (Sookie Stackhouse  #1) - 14.74 
Confessions of a Shopaholic (Shopaholic  #1)	,  The Hunger Games (The Hunger Games  #1) - 57.80, Twilight (Twilight  #1) - 53.71, Catching Fire (The Hunger Games  #2) - 44.72, The Help - 39.36, The Book Thief - 38.00, Shopaholic Takes Manhattan (Shopaholic  #2) - 42.49, New Moon (Twilight  #2) - 32.07, Water for Elephants - 29.66, The Time Traveler's Wife - 28.13, The Girl with the Dragon Tattoo (Millennium  #1) - 28.23 
Confessions of an Economic Hit Man	,  The Hunger Games (The Hunger Games  #1) - 63.89, Eat - Pray - Love - 23.73, Slaughterhouse-Five - 19.23, To Kill a Mockingbird - 17.58, The Help - 15.93, The Girl with the Dragon Tattoo (Millennium  #1) - 15.39, The Da Vinci Code (Robert Langdon  #2) - 8.93, Cloud Atlas - 8.63, Life of Pi - 8.33, Catching Fire (The Hunger Games  #2) - 7.14 
Confessions of an Ugly Stepsister	,  The Hunger Games (The Hunger Games  #1) - 54.87, Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years  #1) - 47.33, Twilight (Twilight  #1) - 40.91, Catching Fire (The Hunger Games  #2) - 35.59, The Help - 32.08, The Time Traveler's Wife - 34.37, The Book Thief - 33.29, The Girl with the Dragon Tattoo (Millennium  #1) - 33.08, Water for Elephants - 32.79, New Moon (Twilight  #2) - 27.55 
Congo	,  The Da Vinci Code (Robert Langdon  #2) - 56.52, The Hunger Games (The Hunger Games  #1) - 56.52, Ender's Game (Ender's Saga  #1) - 41.67, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 38.44, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 37.50, Sphere - 34.84, The Lost World - 32.41, The Andromeda Strain - 30.79, To Kill a Mockingbird - 33.83, Timeline - 25.73 
Consider the Lobster and Other Essays	,  The Hunger Games (The Hunger Games  #1) - 80.49, The Road - 55.43, Infinite Jest - 41.83, Catching Fire (The Hunger Games  #2) - 34.53, The Girl with the Dragon Tattoo (Millennium  #1) - 32.20, The Brief Wondrous Life of Oscar Wao - 26.67, The Great Gatsby - 26.98, The Book Thief - 25.00, The Handmaid's Tale - 23.81, The Immortal Life of Henrietta Lacks - 20.62 
Contact	,  The Hunger Games (The Hunger Games  #1) - 65.15, Catching Fire (The Hunger Games  #2) - 62.07, The Book Thief - 37.95, The Girl with the Dragon Tattoo (Millennium  #1) - 37.95, The Road - 38.63, Slaughterhouse-Five - 31.82, Ender's Game (Ender's Saga  #1) - 31.39, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 27.10, The Lightning Thief (Percy Jackson and the Olympians  #1) - 24.40, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 22.97 
Coraline	,  The Hunger Games (The Hunger Games  #1) - 74.35, The Graveyard Book - 62.89, Catching Fire (The Hunger Games  #2) - 57.23, The Book Thief - 54.03, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 43.80, Twilight (Twilight  #1) - 36.44, The Giver (The Giver  #1) - 37.09, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 36.94, The Lightning Thief (Percy Jackson and the Olympians  #1) - 34.97, The Help - 32.76 
Coraline (Illustrated/Graphic Novel Edition)	,  The Hunger Games (The Hunger Games  #1) - 61.03, The Book Thief - 61.59, The Graveyard Book - 55.76, The Giver (The Giver  #1) - 57.35, Catching Fire (The Hunger Games  #2) - 42.64, Paper Towns - 40.13, Twilight (Twilight  #1) - 34.03, The Perks of Being a Wallflower - 32.33, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 36.96, Looking for Alaska - 32.09 
Corduroy	,  Goodnight Moon - 73.57, The Hunger Games (The Hunger Games  #1) - 70.14, Green Eggs and Ham - 66.31, The Giver (The Giver  #1) - 67.21, The Very Hungry Caterpillar - 57.54, Twilight (Twilight  #1) - 57.55, Catching Fire (The Hunger Games  #2) - 47.53, If You Give a Mouse a Cookie - 44.45, Where the Wild Things Are - 44.47, The Book Thief - 44.92 
Corelli's Mandolin	,  The Book Thief - 69.87, The Hunger Games (The Hunger Games  #1) - 51.34, The Help - 50.39, The Guernsey Literary and Potato Peel Pie Society - 49.54, The Catcher in the Rye - 37.09, To Kill a Mockingbird - 36.00, Water for Elephants - 27.48, The Alchemist - 28.57, The Handmaid's Tale - 27.68, A Thousand Splendid Suns - 27.23 
Cosmos	,  Brave New World - 87.50, Animal Farm - 0.00, The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1) - 0.00, The Hunger Games (The Hunger Games  #1) - 0.00 
Cover Her Face (Adam Dalgliesh #1)	,  The Hunger Games (The Hunger Games  #1) - 63.24, Catching Fire (The Hunger Games  #2) - 35.55, The Girl with the Dragon Tattoo (Millennium  #1) - 33.03, Harry Potter and the Prisoner of Azkaban (Harry Potter  #3) - 11.11, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 11.11, The Help - 10.76, The Curious Incident of the Dog in the Night-Time - 10.42, The Book Thief - 0.00, The Girl Who Played with Fire (Millennium  #2) - 0.00, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 0.00 
Covet (Fallen Angels  #1)	,  Dark Lover (Black Dagger Brotherhood  #1) - 69.34, Lover Mine (Black Dagger Brotherhood  #8) - 65.19, Lover Eternal (Black Dagger Brotherhood  #2) - 60.79, Lover Unbound (Black Dagger Brotherhood  #5) - 60.94, Lover Enshrined (Black Dagger Brotherhood  #6) - 59.78, Lover Awakened (Black Dagger Brotherhood  #3) - 62.23, Lover Avenged (Black Dagger Brotherhood  #7) - 53.79, The Hunger Games (The Hunger Games  #1) - 49.80, Lover Revealed (Black Dagger Brotherhood  #4) - 41.47, Halfway to the Grave (Night Huntress  #1) - 40.47 
Cracked Up to Be	,  Anna and the French Kiss (Anna and the French Kiss  #1) - 69.05, Some Girls Are - 73.56, The Hunger Games (The Hunger Games  #1) - 69.10, If I Stay (If I Stay  #1) - 50.79, City of Bones (The Mortal Instruments  #1) - 53.00, Thirteen Reasons Why - 48.55, The DUFF: Designated Ugly Fat Friend - 43.27, Before I Fall - 38.22, Paper Towns - 32.43, Catching Fire (The Hunger Games  #2) - 35.39 
Cranford	,  The Book Thief - 64.52, The Help - 58.06, The Hunger Games (The Hunger Games  #1) - 50.37, Pride and Prejudice - 42.65, Jane Eyre - 39.37, The Guernsey Literary and Potato Peel Pie Society - 36.25, The Immortal Life of Henrietta Lacks - 32.74, Emma - 29.16, Catching Fire (The Hunger Games  #2) - 31.50, Persuasion - 29.25 
Crank (Crank  #1)	,  The Hunger Games (The Hunger Games  #1) - 72.57, Glass (Crank  #2) - 74.65, Thirteen Reasons Why - 68.92, The Book Thief - 58.72, Catching Fire (The Hunger Games  #2) - 59.08, Paper Towns - 52.69, If I Stay (If I Stay  #1) - 49.73, Looking for Alaska - 45.02, City of Bones (The Mortal Instruments  #1) - 45.22, The Maze Runner (Maze Runner  #1) - 40.45 
